구,명소 1,2,3,4,5
강남구,마이아트뮤지엄,K현대미술관,봉은사,피규어뮤지엄w,시몬느 핸드백 박물관
강동구,브이센터,암사동선사유적박물관,KIM KYUNG SANG,서울 암사동 유적박물관 선사체험교실,해양박물관
강북구,도선사,화계사,박을복자수박물관,문익환통일의집,아트스페이스 그로브
강서구,국립항공박물관,스페이스K 서울,허준박물관,겸재정선미술관,충우곤충박물관
관악구,서울시립남서울미술관,호림박물관,서울특별시교육청과학전시관,서울대학교관악캠퍼스박물관,천주교삼성산성지
광진구,서울상상나라,아차산생태공원,본다빈치뮤지엄 능동,서울거리예술창작센터,광.진 벨라듀
구로구,서울특별시교육청과학전시관 남부분관,평화박물관,평강성서유물박물관,스마트구로홍보관,전통사경연구원 사경전시관
금천구,구로공단 노동자생활체험관,호압사,서울독산동유적발굴전시관,G밸리기업시민청 현대시티아울렛가산점,이랜드스페이스
노원구,서울생활사박물관,서울시립과학관,노원천문우주과학관,육군사관학교육군박물관,화랑대역사 전시관
도봉구,둘리뮤지엄,서울창포원,국립현대미술관 창동레지던시,김수영문학관,국립공원 산악박물관
동대문구,경희대학교 자연사박물관,한국경제발전전시관,서울약령시한의약박물관,청계천 청혼의 벽,선농단역사문화관
동작구,조선일보 뉴지엄,숭실대학교 한국기독교박물관,사육신공원단종충신역사관,노기남관,남.성.역 동양라파크
마포구,하늘공원,러브뮤지엄,한국영화박물관,어깨동무스토리움,aA 디자인 뮤지엄
서대문구,서대문자연사박물관,서대문형무소역사관,이화여자대학교 자연사박물관,동북아역사재단독도체험관,이화여자대학교 박물관
서초구,서울의전당서예박물관,한전아트센터 박물관,국립국악원박물관,반포대교달빛무지개분수,인도박물관
성동구,디뮤지엄,뚝섬미술관,청계천박물관,수도박물관,서울하수도과학관
성북구,한국가구박물관,우리옛돌박물관,길상사,성북구립미술관,성북선잠박물관
송파구,소마미술관,한성백제박물관,롯데월드민속박물관,송파책박물관,롯데뮤지엄
양천구,생명과학박물관,양천녹색환경교육센터,또부아트,역사이야기,재활용창작품상설전시관
영등포구,선유도공원,영등포여의도봄꽃축제,과자박물관 스위트팩토리,LG사이언스홀,만천곤충박물관
용산구,전쟁기념관,국립중앙박물관,국립한글박물관,국립중앙박물관 어린이박물관,아모레퍼시픽미술관
은평구,사비나미술관,은평역사한옥박물관,다문화박물관,진관사,불광천벚꽃축제
종로구,국립현대미술관,국립어린이과학관,대림미술관,국립고궁박물관,북촌한옥마을
중구,서울시립미술관,국립현대미술관,덕수궁대한제국역사관,한국은행화폐박물관,서소문성지역사박물관
중랑구,중랑천길,중랑아트센터,서울 장미축제,송정 이병학 미술관,서울생활사박물관
